,shoeBrand,shoeName,price
0,['Saint Laurent'],"[""Men's Jodhpur Leather Ankle-Wrap Boots""]",['995']
1,['Hunter Boot'],"[""Men's Original Refined Chelsea Boot""]","['154,NOW,75']"
2,['Alexander McQueen'],"[""Men's Studded Leather Moto Boot""]","[' 1,579,NOW,740']"
3,['Aquatalia'],"[""Men's Adrian  Leather Dress Chelsea Boots""]","[' 449,NOW,210']"
4,['Aquatalia'],"[""Men's Daniel Waterproof Suede Side-Zip Ankle Boots""]","[' 524,NOW,245']"
5,['Aquatalia'],"[""Men's Rinaldo Suede Lace-Up Chukka Boots""]","[' 449,NOW,210']"
6,"[""Tod's""]","[""Men's Polacco Suede Chukka Boots""]","[' 524,NOW,245']"
7,['Saint Laurent'],"[""Men's Wyatt Leopard-Print Harness Boots""]","[' 1,594,NOW,747']"
8,['Aquatalia'],"[""Men's Adrian Weatherproof Suede Chelsea Boot""]","[' 449,NOW,210']"
9,['Balenciaga'],"[""Men's Santiag Western Harness Suede Booties""]","[' 1,389,NOW,651']"
10,['Magnanni'],"[""Men's Double-Zip Leather Ankle Boots""]","[' 484,NOW,237']"
11,['Magnanni'],"[""Men's Side-Zip Leather Ankle Boots""]","[' 484,NOW,227']"
12,['Magnanni'],"[""Men's Suede Chelsea Boots""]","[' 484,NOW,227']"
13,['Saint Laurent'],"[""Men's Clementi 40 Buckle-Strap Patent Leather Boots""]","[' 995,NOW,466']"
14,['Amiri'],"[""Men's Jodhpur Conch Suede Boots""]","[' 1,589,NOW,745']"
15,['Fear of God'],"[""Men's Santa Fe Suede Chelsea Boots""]","[' 794,NOW,372']"
16,['UGG'],"[""Men's Classic Short Suede Front-Zip Boots""]","[' 189,NOW,88']"
17,['Salvatore Ferragamo'],"[""Men's Sachie-2 Suede Chukka Boots""]","[' 574,NOW,269']"
18,['Saint Laurent'],"[""Men's Jonas Patent Leather Point-Toe Chukka Boots""]","[' 944,NOW,442']"
19,['Saint Laurent'],"[""Men's Wyatt Suede Chukka Boots""]","[' 994,NOW,466']"
20,['Maison Margiela'],"[""Men's Cross Shiny Faux-Leather Combat Boots""]","[' 1,524,NOW,715']"
21,['Balenciaga'],"[""Men's Chrystal Textured Leather Booties""]","[' 1,189,NOW,557']"
22,['Balenciaga'],"[""Men's Biker Bootie""]","[' 1,189,NOW,557']"
23,['Maison Margiela'],"[""Men's Tank Metallic Split-Toe Ankle Boots""]","[' 1,294,NOW,607']"
24,['Versace'],"[""Men's Leopard Calf Hair Ankle Boots""]","[' 1,474,NOW,691']"
25,['Aquatalia'],"[""Men's Corbin Weatherproof Suede Derby Shoes""]","[' 549,NOW,257']"
26,['Aquatalia'],"[""Men's Rinaldo Weatherproof Suede Chukka Boot""]","[' 449,NOW,210']"
27,['Eastland 1955 Edition'],['Sherman 1955 Leather Boots Oak '],[' 225']
28,['Prada'],['Saffiano Leather Chelsea Boots Black'],['750']
29,['Wolverine'],['1000 Mile Boot'],['385']
30,['Loro Piana'],"[""Men's Open Walk Suede Chukka Boot""]",['995']
31,['Giorgio Armani'],"[""Men's Vachetta Leather/Suede Chelsea Boots""]","['1,195']"
32,['Wolverine'],"[""Men's 1000 Mile Rugged Waxy Suede Boots""]",['415']
33,['Saint Laurent'],"[""Men's Lukas Western Suede Boots""]",['995']
34,['Berluti'],"[""Men's Scritto Leather Chelsea Boots""]","['2,350']"
35,['Eastland'],"[""Men's Edison 1955 Leather Chelsea Boots""]",['160']
36,['Eastland'],"[""Men's Edison 1955 Suede Chelsea Boots""]",['160']
37,['Eastland'],"[""Men's Sherman 1955 Suede Boots""]",['225']
38,['Stefano Ricci'],"[""Men's Leather Mountain Boots""]","['1,150']"
39,['Frye'],"[""Men's Bowery Leather Lace-Up Boots""]",['358']
40,['Aquatalia'],"[""Men's Vladimir Leather Boots""]",['595']
41,['Lucchese'],"[""Men's Grayson Leather Chelsea Boots (Made to Order)""]",['695']
42,['Lucchese'],"[""Men's Hudson Full Quill Boots (Made to Order)""]",['645']
43,['Amiri'],"[""Men's Bandana Buckle Ankle Boots""]","['1,390']"
44,['Bruno Magli'],"[""Men's Sancho Leather Ankle Boots""]","['495,NOW,295']"
45,['Christian Louboutin'],"[""Men's Kicko Leopard-Print Red Sole Boots""]","[' 1,695']"
46,['John Varvatos'],['Eldridge Leather Harness Boot'],['698']
47,['Frye'],"[""Men's Paul Lace-Up Leather Boots""]",['328']
48,['Prada'],"[""Men's Spazzolato Leather Combat Boots""]",['790']
49,['John Varvatos'],"[""Men's Waverly Covered Chelsea Boots""]",['298']
50,['John Varvatos'],"[""Men's Waverly Covered Chelsea Boots""]",['298']
51,['John Varvatos'],"[""Men's NYC Leather Ankle Boots""]",['298']
52,['Ermenegildo Zegna'],"[""Men's Siena Flex Burnished Leather Chelsea Boots""]",['750']
53,['Balmain'],"[""Men's Calf Suede Zip-Up Ankle Boots""]",['995']
54,['Brunello Cucinelli'],"[""Men's Brogue Leather Derby Boots""]","['1,095']"
55,['Brunello Cucinelli'],"[""Men's Suede Mid-Top Desert Chukka Boots""]","['895,NOW,626']"
56,['Frye'],"[""Men's Grady Jodhpur Ankle Boots""]",[' 398']
57,['Bally'],"[""Men's Nikora Leather Chelsea Boots ""]",['695']
58,['John Varvatos'],"[""Men's Union Leather Combat Boots""]",['698']
59,['John Varvatos'],"[""Men's Fleetwood Velvet Lace-Up Boots""]",['698']
60,['Bruno Magli'],"[""Men's Savino Suede/Leather Derby Boots""]",['650']
61,['Fendi'],"[""Men's Embroidered FF Logo Leather Chelsea Boots""]",['990']
62,['Christian Louboutin'],"[""Men's Melon Spikes Red Sole Chelsea Boots""]","['1,395']"
63,['Ike Behar'],"[""Men's Octavian Patina Leather Double-Monk Boots""]",['995']
64,['Ike Behar'],"[""Men's Edge Two-Tone Patina Leather Balmoral Boots""]",['995']
65,['Salvatore Ferragamo'],"[""Men's Sefton Gancini Leather Side-Zip Ankle Boots""]","['1,190']"
66,['Vince'],"[""Men's Colter Moc-Toe Chukka Boots""]","['375,NOW,262']"
67,['UGG'],"[""Men's Neumel Waterproof Full-Grain Leather Chukka Boots""]",[' 180']
68,['Vince'],"[""Men's Carmine Valencia Leather Chelsea Boots""]","['395,NOW,276']"
69,['Burberry'],"[""Men's Vintage Check/Leather Hiking Boots""]",[' 890']
70,['Ermenegildo Zegna'],"[""Men's Trivero Suede Chukka Boots with Mud Guard Black""]",['650']
71,['Ermenegildo Zegna'],"[""Men's Trivero Suede Chukka Boots with Mud Guard Blue""]",['650']
72,['Ermenegildo Zegna'],"[""Men's Trivero Suede Chukka Boots with Mud Guard Brown""]",['650']
73,['Manolo Blahnik'],"[""Men's Rodrigo Suede Chukka Boots""]",['825']
74,['Manolo Blahnik'],"[""Men's Bodolomite Shearling-Trim Hiking Boots""]","['1,295']"
75,['Hari Mari'],"[""Men's Nokona CanyonTrek Leather/Hemp Chukka Boots""]",['220']
76,['Frye'],"[""Men's Leather Harness Moto Boots""]",['358']
77,['Vince'],"[""Men's Colter Suede Moc-Toe Chukka Boots""]",['262.50']
78,['Cole Haan'],"[""Men's 2.ZeroGrand Stretch-Knit Chukka Boots""]",['250']
79,['Ermenegildo Zegna'],"[""Men's Leather Chelsea Boots""]",['950']
80,['Ermenegildo Zegna'],"[""Men's Trivero Suede Chukka Boots""]",['650']
81,['Fendi'],"[""Men's Faded FF Leather Chelsea Boots""]",['990']
82,['Fendi'],"[""Men's Faded FF Moc-Toe Leather Combat Boots""]",['890']
83,['Moncler'],['Hayden Chelsea Leather Boots'],['625']
84,['Burberry'],"[""Men's Allostock Vintage Check Leather Chelsea Boots""]",['680']
85,['Bruno Magli'],"[""Men's Octavio Brogue Leather Boots""]",['650']
86,['Gucci'],"[""Men's Leon Chunky Leather Chelsea Boots""]",['980']
87,['Saint Laurent'],['Suede Chukka Boot Espadrille'],['395']
88,"[""Tod's""]","[""Men's Polacco Suede Chukka Boots""]",['545']
89,['Swims'],"[""Men's Motion Country Boots""]",['300']
90,['Swims'],"[""Men's Motion Chukka Boots""]","['249,NOW,122']"
91,['Badgley Mischka'],"[""Men's William Star-Print Leather Ankle Boots""]",[' 295']
92,['Versace'],"[""Men's Leather Medusa Combat Boots""]","['1,650']"
93,['Prada'],"[""Men's Nylon-Inset Leather Boots""]",['890']
94,['John Varvatos'],"[""Men's Morrison Sharpei Laser Boots""]",['698']
95,['John Varvatos'],"[""Men's Lewis Leather Side-Zip Boots""]",['798']
96,['John Varvatos'],"[""Men's Lewis Python-Print Side-Zip Boots""]",['898']
97,['Bruno Magli'],"[""Men's Riccardo Woven Leather Boots""]",['650']
98,['Maison Margiela'],"[""Men's Tabi Split-Toe Leather Ankle Boots""]","['1,280']"
99,['Eastland'],"[""Men's Kurt 1955 Waterproof Leather Hiking Boots""]",['200']
100,['Bally'],"[""Men's Lug-Sole Leather Derby Shoes""]",['675']
101,['Alexander McQueen'],"[""Men's Leather Chelsea Boots""]",['650']
102,['Alexander McQueen'],"[""Men's Brogue Lace-Up Boot Sneakers""]",['780']
103,['Giorgio Armani'],"[""Men's Lightweight Suede Chukka Boots""]",['745']
104,['TOM FORD'],"[""Men's Formal Leather Side-Zip Ankle Boots""]","['1,990']"
105,['Amiri'],"[""Men's Suede Point-Toe Chelsea Boots""]",['990']
106,['John Varvatos'],"[""Men's Six O Six Convertible Leather Combat Boots""]",['748']
107,['Valentino'],"[""Men's Neon Camouflage Sneakers""]",['845']
108,['Eastland 1955 Edition'],['Sherman 1955 Leather Boot Black'],['225']
109,['Salvatore Ferragamo'],"[""Men's Rhino Leather Chelsea Boots""]",['895']
110,['Alexander McQueen'],"[""Men's Leather Glitter Ankle Boots""]",['890']
111,['Balenciaga'],"[""Men's Combat Boot with Woven Lace Detail""]","['1,290,NOW,658']"
112,['Wolverine'],['1000 Mile Boots Black'],[' 385']
113,['Giuseppe Zanotti'],"[""Men's Suede Chelsea Boots w/ Clear Heel""]","['1,250']"
114,['TOM FORD'],"[""Men's Kensington Double-Monk Boots""]","['1,250']"
115,['UGG'],"[""Men's x Ovadia Classic Mini Leather Boots""]",['300']
116,['Magnanni'],"[""Men's Durham Leather Desert Boots""]",['395']
117,['Giorgio Armani'],"[""Men's Lightweight Suede Chukka Boots""]",['745']
118,['Frye'],"[""Men's Bowery Leather Lace-Up Boots""]",['298']
119,['Versace'],"[""Men's Crosta Suede Greek Key Boots""]","['1,125']"
120,['Alexander McQueen'],"[""Men's Tie-Dye Calf Hair Chelsea Boots""]","['1,190']"
121,['Bally'],"[""Men's Lysius Mixed-Media Lace-up Boots""]",['725']
122,['TOM FORD'],"[""Men's Informal Double-Monk Suede Ankle Boots""]","['1,200']"
123,['Saint Laurent'],"[""Men's Wyatt Croc-Embossed Leather Side-Zip Boots""]",['995']
124,['Eastland 1955 Edition'],['Franconia 1955 Ankle Boots Oak '],['495']
125,['Magnanni for Neiman Marcus'],"[""Men's Patent Leather Formal Tassel Loafers""]",['425']
126,['Coach'],"[""Men's Hybrid Urban Suede Hiking Boots""]",['295']
127,['Coach'],"[""Men's C250 Technical Cordura Hiking Boots""]",['275']
128,['John Varvatos'],"[""Men's Lewis Leather Chelsea Boots""]",['798']
129,['Christian Louboutin'],"[""Men's Yeti Studded Leather Boots w/ Shearling""]","['1,695']"
130,['Saint Laurent'],['Eddie Suede Chelsea Boot'],['895']
131,['Manolo Blahnik'],"[""Men's Warwick Leather Chukka Boots""]",['995']
132,['Hari Mari'],"[""Men's Nokona CanyonTrek Leather/Hemp Chukka Boots""]",['220']
133,['Hari Mari'],"[""Men's Nokona Adobe Desert Boots""]",['200']
134,['Hari Mari'],"[""Men's Nokona Adobe Desert Boots""]",['200']
135,['Christian Louboutin'],"[""Men's Citycroc Red Sole Brogue Leather Boots""]","['1,395']"
136,['Balenciaga'],"[""Men's Rim BB-Logo Leather Rain Boots""]","['1,650']"
137,['Aquatalia'],"[""Men's Ira Leather Boots""]",['695']
138,['Santoni'],"[""Men's Luna Leather Chelsea Boots""]",['675']
139,['Magnanni'],"[""Men's Peyton II Burnished Leather Lace-Up Boots""]",['398']
140,['Sorel'],"[""Men's Cheyanne II Premium Waterproof Boots""]",['185']
141,['Sorel'],"[""Men's Atlis Waterproof Suede Ankle Boots""]",['170']
142,['Ermenegildo Zegna'],"[""Men's New Trivero Suede Lug-Sole Chukka Boots""]",['650']
143,['Brunello Cucinelli'],"[""Men's Suede Hiker Boots""]","['1,295']"
144,['UGG'],"[""Men's Neumel Flex Suede Booties w/ Wool Lining""]",['130']
145,['Frye'],"[""Men's Conway Leather Chelsea Boots""]",['368']
146,['Bruno Magli'],"[""Men's Angiolini M-Buckle Burnished Leather Ankle Boots""]",['475']
147,['Frye'],"[""Men's Conway Leather Harness Boots""]",['398']
148,['Ike Behar'],"[""Men's Escape Patina Leather Chelsea Boots""]",['950']
149,['Roberto Cavalli'],"[""Men's Leather Side-Zip Ankle Boots w/ Buckle Strap""]",['665']
150,['UGG'],['Neumel Suede Desert Boots Chestnut'],['130']
151,['Manolo Blahnik'],"[""Men's Delsa Leather Chelsea Boots""]",['995']
152,['TOM FORD'],"[""Men's Double-Monk Strap Leather Ankle Boots""]","['1,990']"
153,['Salvatore Ferragamo'],"[""Men's Talos Suede Chelsea Boots""]",['695']
154,['Moncler'],"[""Men's Henoc Water-Resistant Hiking Boots""]",['535']
155,['Swims'],"[""Men's Motion Water-Resistant Suede Chelsea Boots""]",['250']
156,['Frye'],"[""Men's Paul Leather Ankle Boots""]",['298']
157,['Paul Stuart'],"[""Men's Lugano Suede Chukka Boots""]",['495']
158,['Lucchese'],"[""Men's Hobbs Sunburst Western Cowboy Boots (Made to Order)""]",['495']
159,['Giorgio Armani'],"[""Men's Suede Chelsea Boots""]",['795']
160,['Balenciaga'],"[""Men's Rim Patent Leather Chelsea Boots""]","['1,295']"
161,['Frye'],"[""Men's Duke Roper Western Leather Boots""]",['378']
162,['Gucci'],"[""Men's Worsh Leather Ankle Boots""]","['1,250']"
163,['Bruno Magli'],"[""Men's Risoli Leather Zip-Up Ankle Boots""]",['650']
164,['Lucchese'],"[""Men's Rio Gator Leather Western Cowboy Boots (Made to Order)""]",['895']
165,['Lucchese'],"[""Men's Anderson Ostrich Cowboy Boots (Made to Order)""]","['1,795']"
166,['Lucchese'],"[""Men's Gavin Leather Cowboy Boots (Made to Order)""]",['895']
167,['Cole Haan'],"[""Men's Ripley Grand Chukka Boots""]",['190']
168,['Aquatalia'],"[""Men's Adrian Waterproof Leather Chelsea Boots""]",['450']
169,['John Varvatos'],"[""Men's Waverly Suede Chelsea Boots""]",['298']
170,['Aquatalia'],"[""Men's Renzo Waterproof Leather Lace-Up Boots""]",['550']
171,['UGG'],"[""Men's Harkley Waterproof Leather Boots""]",['190']
172,['Stefano Ricci'],"[""Men's Leather Mountain Hiking Boots Blue""]","['1,150']"
173,['Alexander McQueen'],"[""Men's Leather Lace-Up Combat Boots with Thick Rubber Sole""]",['890']
174,['Giorgio Armani'],"[""Men's Suede Chukka Boot""]",['825']
175,['Vince'],"[""Men's Brunswick Suede Chukka Boot""]",['245']
176,['John Varvatos'],['Morrison Sharpei Suede Boot'],['698']
177,['Giorgio Armani'],['Gored Leather Chelsea Boot w/ Rubber Sole'],['795']
178,['Common Projects'],"[""Men's Calf Suede Chelsea Boot Tan""]",['529']
179,['Timberland'],"['6"" Premium Waterproof Hiking Boots']",['198']
180,['Timberland'],"['6"" Premium Waterproof Hiking Boots Black']",['198']
181,['Eastland'],['Elkton 1955 Leather Boots Black'],['225']
